Month_Number,Month,Year,Open,High,Low,Close,Volume
6,June,2023,1663.624761904762,1683.050476190476,1648.2780952380951,1668.9961904761903,4.7595238095238095
7,July,2023,1712.0938095238096,1727.7190476190476,1690.098095238095,1707.1271428571429,3.247142857142857
8,August,2023,1892.4754545454546,1921.0922727272728,1869.8227272727272,1900.7890909090909,9.595
9,September,2023,2074.9555,2101.189,2044.3695,2072.0364999999997,7.618
10,October,2023,2060.5225,2084.9855,2032.7989999999998,2061.7885,5.167
11,November,2023,2481.614,2523.9919999999997,2457.4345000000003,2503.6205,9.2425
12,December,2023,2924.589,2956.5834999999997,2889.299,2925.651,6.2315
1,January,2024,3133.873333333333,3168.8299999999995,3085.342380952381,3124.8419047619045,5.312380952380953
2,February,2024,3701.3909523809525,3788.457142857143,3630.583809523809,3726.2438095238094,13.996190476190474
3,March,2024,3948.096111111111,4009.2344444444443,3879.3677777777775,3948.244444444444,8.698333333333332
4,April,2024,4068.1775000000002,4150.665999999999,4004.054,4072.2940000000003,10.615
5,May,2024,4580.770952380953,4635.4138095238095,4504.216190476191,4571.898095238095,8.323333333333332
6,June,2024,5109.40052631579,5186.726842105263,4996.95947368421,5112.951578947369,7.77
7,July,2024,5486.437272727272,5557.0027272727275,5402.637272727273,5490.682727272728,6.045454545454546
8,August,2024,6356.683809523809,6485.112857142857,6264.566666666667,6393.802380952381,12.915238095238093
9,September,2024,7354.7961904761905,7426.2871428571425,7251.428095238095,7338.826190476191,11.359523809523811
10,October,2024,7675.436818181817,7778.8322727272725,7522.854545454545,7648.057727272727,7.367272727272728
11,November,2024,6674.943157894737,6789.210526315789,6542.404210526315,6648.345789473685,12.098947368421053
12,December,2024,6957.6671428571435,7055.998571428571,6850.7938095238105,6963.609523809523,7.597619047619048
1,January,2025,6278.181304347827,6362.406956521739,6117.627391304348,6208.316521739131,10.36
2,February,2025,5315.282,5410.217500000001,5161.2955,5264.6255,16.0485
3,March,2025,5094.478421052631,5197.171052631579,5017.683684210527,5104.5442105263155,11.657368421052633
4,April,2025,5197.025789473684,5285.412631578947,5067.81,5184.252105263157,18.336315789473684
5,May,2025,5395.739523809524,5482.776666666667,5333.035238095238,5407.501904761904,8.955238095238096
6,June,2025,5794.681904761905,5882.823809523809,5716.622380952382,5809.09,14.80142857142857
