Month,Year,Open,High,Low,Close,Volume
January,2021,2175.95,2194.0860000000002,2144.134,2164.4790000000003,21.969
January,2022,2180.3775,2196.0995,2151.6440000000002,2173.0299999999997,17.5775
January,2023,2432.753333333333,2456.6280952380953,2409.1085714285714,2435.980952380952,16.95047619047619
January,2024,2420.730476190476,2440.4985714285713,2397.82380952381,2417.4509523809525,16.945714285714285
January,2025,2310.9365217391305,2337.4226086956523,2289.0408695652177,2315.714347826087,17.340434782608696
January,2026,2353.4614285714288,2375.640476190476,2328.874761904762,2355.4504761904764,13.056190476190476
February,2021,2022.479,2034.341,1996.3509999999999,2009.3245,26.142500000000002
February,2022,2093.917,2107.495,2070.9805,2091.6295,14.0825
February,2023,2395.4970000000003,2410.6275,2373.7655,2390.207,13.748499999999998
February,2024,2296.4242857142854,2307.5933333333332,2276.7790476190476,2290.7757142857145,14.549047619047618
February,2025,2275.198,2292.5035,2239.6040000000003,2258.13,17.157999999999998
February,2026,2343.2599999999998,2364.519,2314.409,2340.731,16.5835
March,2021,2042.7652380952381,2069.0109523809524,2022.9766666666667,2051.367142857143,23.943333333333335
March,2022,1878.3657142857144,1895.2519047619048,1848.3833333333334,1870.9385714285713,28.41761904761905
March,2023,2319.7004761904764,2338.428095238095,2298.865238095238,2319.587619047619,14.432857142857141
March,2024,2214.98,2230.9738888888887,2199.203333333333,2212.1466666666665,24.503333333333334
March,2025,2150.4142105263154,2172.9226315789474,2130.736315789474,2152.117894736842,16.290526315789474
March,2026,2144.8931578947368,2163.5405263157895,2114.8321052631577,2132.8578947368424,20.341578947368422
April,2021,2198.747894736842,2220.806842105263,2167.8136842105264,2189.9736842105262,22.25421052631579
April,2022,1984.7905263157893,2010.0710526315788,1958.074210526316,1987.6568421052634,20.67684210526316
April,2023,2368.154705882353,2382.474117647059,2344.0670588235294,2362.867058823529,15.000588235294117
April,2024,2142.6014999999998,2152.7405,2126.0175,2137.7155,22.158
April,2025,2254.493684210526,2281.6494736842105,2229.462105263158,2257.6794736842103,24.718947368421055
April,2026,2181.456,2219.7509999999997,2155.8015,2188.3424999999997,24.736
May,2021,2161.393,2176.252,2141.3475,2157.1420000000003,13.2845
May,2022,2067.3514285714286,2094.630476190476,2040.5876190476188,2071.674761904762,18.768571428571427
May,2023,2425.6677272727275,2445.254545454545,2410.85,2431.4077272727272,13.515000000000002
May,2024,2218.1595238095238,2241.45,2200.7033333333334,2223.3690476190477,21.098095238095237
May,2025,2294.0261904761905,2312.0361904761908,2275.881428571429,2294.1738095238097,17.169999999999998
May,2026,2223.2485714285713,2249.862380952381,2204.6980952380954,2222.9695238095237,20.36904761904762
June,2021,2203.714090909091,2223.6245454545456,2187.2168181818183,2208.246818181818,14.667727272727273
June,2022,2064.425909090909,2089.879545454545,2039.9454545454546,2064.9404545454545,17.851363636363637
June,2023,2517.098095238095,2537.734761904762,2497.7742857142857,2517.6419047619047,12.082380952380952
June,2024,2378.2805263157898,2410.4268421052634,2354.1973684210525,2381.9268421052634,29.63105263157895
June,2025,2273.9466666666667,2285.8190476190475,2257.255238095238,2271.1238095238095,17.08095238095238
June,2026,2136.2136363636364,2155.1368181818184,2117.3754545454544,2133.276818181818,14.487727272727273
July,2021,2222.312857142857,2236.332857142857,2203.284285714286,2215.627619047619,10.685714285714287
July,2022,2337.308095238095,2369.751904761905,2312.4161904761904,2349.6333333333337,20.785714285714285
July,2023,2511.7633333333333,2530.5861904761905,2489.232857142857,2507.6566666666668,16.700476190476188
July,2024,2528.0327272727272,2556.765,2506.545,2536.6286363636364,22.100454545454546
July,2025,2387.7478260869566,2409.458260869565,2370.2595652173914,2394.5552173913043,16.807391304347824
July,2026,2133.5,2190.0,2120.2,2182.0,24.98
August,2021,2277.0285714285715,2305.5466666666666,2261.748095238095,2290.7361904761906,16.777619047619048
August,2022,2443.134,2468.7889999999998,2420.9849999999997,2441.475,13.669999999999998
August,2023,2410.2286363636363,2422.300909090909,2393.2095454545456,2408.4572727272725,13.300454545454546
August,2024,2647.5838095238096,2668.4723809523807,2625.2028571428573,2647.6099999999997,17.25142857142857
August,2025,2529.013684210526,2564.5436842105264,2504.3873684210525,2528.9673684210525,18.23578947368421
September,2021,2539.3599999999997,2564.2661904761903,2514.052380952381,2533.880476190476,15.939523809523811
September,2022,2434.3281818181817,2462.9036363636365,2414.5195454545456,2434.271818181818,16.281363636363636
September,2023,2354.5389999999998,2367.906,2340.418,2355.099,15.985
September,2024,2785.9933333333333,2819.5133333333333,2762.3033333333333,2793.6828571428573,18.376190476190477
September,2025,2555.7904545454544,2571.155909090909,2528.810454545455,2544.252272727273,14.003181818181817
October,2021,2378.0029999999997,2395.7305,2340.275,2357.546,20.0055
October,2022,2416.2721052631578,2439.3873684210525,2386.3305263157895,2405.011052631579,13.478947368421052
October,2023,2370.5245,2389.4165000000003,2358.809,2375.4175,15.1725
October,2024,2625.350909090909,2642.6254545454544,2584.072727272727,2607.5813636363637,17.678636363636365
October,2025,2485.594761904762,2505.5847619047618,2464.130476190476,2483.690476190476,15.13238095238095
November,2021,2213.4655,2222.9655,2187.6994999999997,2205.634,16.294999999999998
November,2022,2361.697142857143,2383.6966666666667,2341.4638095238092,2364.1090476190475,13.573809523809524
November,2023,2378.733,2393.6225,2366.362,2381.7535,13.1925
November,2024,2402.9094736842103,2420.476315789474,2376.1526315789474,2396.4215789473687,15.154736842105264
November,2025,2403.1263157894737,2415.903157894737,2388.604736842105,2402.355789473684,14.124736842105264
December,2021,2139.9647826086957,2153.09,2117.770434782609,2134.61,12.539130434782608
December,2022,2490.3922727272725,2505.942727272727,2467.4004545454545,2486.465909090909,12.77727272727273
December,2023,2431.749,2449.3134999999997,2416.969,2434.427,18.392500000000002
December,2024,2325.0438095238096,2342.214285714286,2305.500476190476,2320.7619047619046,16.30809523809524
December,2025,2306.129545454545,2320.032272727273,2283.251818181818,2300.882727272727,16.975454545454543
