Month_Number,Month,Year,Open,High,Low,Close,Volume
8,August,2023,225.3477777777778,230.60555555555553,221.53222222222223,225.66,800.82
9,September,2023,240.333,243.975,236.5265,239.1335,396.706
10,October,2023,221.40949999999998,223.66199999999998,217.5275,219.89749999999998,174.664
11,November,2023,221.0275,223.73850000000002,218.5565,220.8285,181.8675
12,December,2023,238.76999999999998,241.718,234.73649999999998,237.6805,205.93800000000002
1,January,2024,244.11190476190478,246.98285714285717,241.05190476190478,243.64000000000001,227.7504761904762
2,February,2024,282.9323809523809,292.27761904761905,277.41190476190474,284.36095238095237,651.2209523809523
3,March,2024,340.15055555555557,348.285,333.2722222222222,339.94444444444446,512.2605555555556
4,April,2024,371.40500000000003,376.5805,367.0235,370.6195,321.7395
5,May,2024,359.3233333333333,362.97190476190474,352.8647619047619,356.4509523809524,188.21666666666667
6,June,2024,356.46526315789475,359.94473684210527,349.14789473684215,354.5468421052632,234.26105263157896
7,July,2024,344.20681818181816,346.5277272727273,339.89818181818185,342.1168181818182,134.2231818181818
8,August,2024,326.6219047619048,330.9004761904762,322.21190476190475,325.0080952380952,157.7761904761905
9,September,2024,347.6595238095238,353.50142857142856,342.8952380952381,348.53714285714284,274.3909523809524
10,October,2024,332.69363636363636,335.7131818181818,326.89500000000004,330.57363636363635,135.43227272727273
11,November,2024,319.25947368421055,323.1805263157895,315.7678947368421,318.96210526315787,123.36789473684209
12,December,2024,326.17285714285714,328.992380952381,321.68285714285713,324.8676190476191,136.58761904761906
1,January,2025,274.02434782608697,276.37565217391307,267.4269565217391,270.3795652173913,203.2508695652174
2,February,2025,233.9825,237.09050000000002,229.042,232.2675,204.262
3,March,2025,221.78315789473686,225.16684210526316,218.3557894736842,221.40210526315792,361.68736842105267
4,April,2025,238.23842105263157,242.47526315789472,235.2094736842105,240.27736842105264,243.32105263157897
5,May,2025,269.7509523809524,273.95666666666665,266.69904761904763,270.6580952380952,167.46238095238095
6,June,2025,296.0152380952381,300.8619047619048,293.25428571428574,297.457619047619,194.36428571428573
7,July,2025,321.23782608695655,324.7786956521739,317.9578260869565,320.9582608695652,171.47739130434783
8,August,2025,326.0410526315789,328.7257894736842,322.34526315789475,324.73315789473685,124.00263157894737
9,September,2025,310.6931818181818,313.02500000000003,307.8840909090909,309.4704545454546,104.51954545454547
10,October,2025,307.42619047619047,310.56190476190477,305.52857142857147,307.7857142857143,95.47999999999999
11,November,2025,305.4921052631579,308.2947368421053,302.9736842105263,305.4552631578947,90.56368421052632
12,December,2025,298.08863636363634,300.15909090909093,295.5113636363636,297.6818181818182,72.52954545454546
1,January,2026,280.4642857142857,283.1666666666667,275.3619047619048,278.40238095238095,126.02428571428572
2,February,2026,262.5225,264.615,259.98,262.15,123.316
3,March,2026,238.22368421052633,241.12368421052633,233.96578947368423,237.30789473684212,170.46894736842106
4,April,2026,241.6645,244.475,237.959,241.6375,279.77
5,May,2026,241.05714285714285,243.21380952380952,238.60619047619045,240.54714285714286,128.50333333333333
6,June,2026,237.78272727272727,239.83863636363637,235.455,237.38500000000002,110.19909090909091
7,July,2026,236.76,240.76,236.5,240.01,79.6
