Month,Year,Open,High,Low,Close,Volume
January,2022,1109.6745,1121.799,1098.2315,1110.4565,137.281
January,2023,1128.652857142857,1134.9109523809525,1114.7880952380951,1123.3323809523808,136.0147619047619
January,2024,1326.685238095238,1345.0004761904763,1314.4166666666667,1331.935238095238,123.17857142857143
January,2025,1244.5265217391304,1254.7139130434782,1230.9678260869564,1242.2456521739132,124.21434782608696
January,2026,1456.4009523809523,1467.3580952380953,1439.0700000000002,1449.47,132.88761904761904
February,2022,1072.075,1083.3809999999999,1060.0525,1072.508,125.55049999999999
February,2023,1076.7815,1085.222,1065.7435,1075.3385,152.856
February,2024,1446.252380952381,1458.0219047619048,1433.6028571428571,1445.0357142857142,113.71952380952382
February,2025,1225.9940000000001,1236.0075000000002,1214.953,1225.6745,103.33099999999999
February,2026,1427.051,1438.7065,1411.4540000000002,1424.519,108.25999999999999
March,2022,1106.235238095238,1123.4157142857143,1096.5157142857145,1114.065238095238,149.64095238095237
March,2023,1042.2076190476191,1050.5719047619048,1030.8057142857144,1039.9128571428573,165.7304761904762
March,2024,1444.9244444444444,1458.763888888889,1432.666111111111,1445.913888888889,125.26666666666668
March,2025,1233.5568421052633,1244.9647368421051,1222.5726315789475,1233.715789473684,138.02684210526317
March,2026,1383.0257894736842,1402.006842105263,1367.9794736842105,1384.0121052631578,210.36315789473684
April,2022,1205.6794736842105,1224.0857894736844,1195.9484210526316,1210.4621052631578,155.33842105263156
April,2023,1072.0335294117647,1077.4888235294118,1062.0405882352943,1069.451176470588,123.43235294117646
April,2024,1450.874,1463.3200000000002,1440.734,1450.589,109.748
April,2025,1250.0657894736842,1269.118947368421,1238.29,1258.89,155.66105263157894
April,2026,1344.1815,1359.087,1330.857,1348.0335,224.5845
May,2022,1165.3338095238096,1181.7909523809524,1148.4138095238097,1162.4304761904762,192.26095238095238
May,2023,1120.14,1127.2704545454546,1112.8213636363637,1120.0568181818182,99.34954545454546
May,2024,1417.6790476190477,1430.55,1405.067619047619,1417.3509523809523,114.37904761904763
May,2025,1410.1323809523808,1422.0904761904762,1400.2552380952382,1411.0838095238096,110.9804761904762
May,2026,1376.9857142857143,1387.9261904761904,1362.3347619047618,1371.9371428571428,156.9242857142857
June,2021,947.9,958.2950000000001,945.5,950.7750000000001,234.535
June,2022,1188.9072727272726,1205.3068181818182,1174.3368181818182,1188.824090909091,159.86363636363637
June,2023,1143.3838095238095,1149.4304761904762,1136.232380952381,1143.277619047619,106.53571428571429
June,2024,1450.4994736842107,1468.0710526315788,1431.3794736842106,1452.862105263158,167.92105263157896
June,2025,1434.22,1446.9942857142858,1424.4638095238097,1436.127619047619,105.04047619047618
June,2026,1304.4755,1315.826,1292.0255,1302.0215,167.439
July,2021,951.1219047619048,955.6885714285714,941.9604761904761,947.1861904761905,102.57904761904761
July,2022,1104.8214285714287,1114.992380952381,1090.0933333333332,1100.9619047619049,203.28238095238098
July,2023,1234.421904761905,1248.8309523809523,1224.3176190476192,1237.6357142857141,198.21619047619046
July,2024,1533.8813636363636,1546.280909090909,1518.9418181818182,1532.109090909091,104.58636363636364
July,2025,1458.983043478261,1468.9404347826087,1446.5473913043477,1455.9265217391303,107.28739130434784
August,2021,973.0542857142857,982.7314285714286,965.0742857142858,975.2733333333334,134.32333333333332
August,2022,1182.327,1194.284,1171.9355,1184.2225,117.60149999999999
August,2023,1236.864090909091,1245.8722727272727,1224.0422727272728,1234.1336363636362,135.67136363636362
August,2024,1472.337619047619,1482.0419047619048,1461.714761904762,1470.1076190476192,123.6047619047619
August,2025,1386.0536842105264,1396.3536842105264,1373.7121052631578,1383.58,99.55842105263159
September,2021,1095.997142857143,1108.9966666666667,1086.8014285714285,1098.4819047619046,156.66476190476192
September,2022,1140.520909090909,1151.739090909091,1130.6622727272727,1138.299090909091,117.06136363636364
September,2023,1190.5504999999998,1196.964,1181.8645000000001,1188.19,158.51749999999998
September,2024,1473.0919047619047,1484.4552380952382,1462.0766666666666,1471.3742857142856,141.76761904761904
September,2025,1377.5986363636364,1385.2181818181818,1369.2009090909091,1376.7381818181818,97.05409090909092
October,2021,1195.3365,1208.4185,1179.5025,1191.6995,116.88699999999999
October,2022,1105.796842105263,1118.2678947368422,1097.0678947368422,1107.3863157894737,107.76947368421054
October,2023,1140.978,1148.522,1134.176,1140.179,102.83599999999998
October,2024,1357.5372727272727,1368.1763636363637,1342.76,1351.9395454545454,182.16954545454544
October,2025,1411.5361904761905,1423.4385714285713,1403.8333333333333,1414.4704761904763,118.60095238095238
November,2021,1126.6855,1138.767,1109.79,1123.886,160.6165
November,2022,1180.3566666666668,1190.7842857142857,1168.4057142857143,1183.0409523809524,107.73666666666665
November,2023,1161.0700000000002,1166.8985,1155.984,1161.6705,102.857
November,2024,1274.3478947368421,1285.647894736842,1259.2747368421053,1270.98,147.3163157894737
November,2025,1511.4905263157896,1523.2615789473684,1502.877894736842,1513.2452631578947,105.88684210526316
December,2021,1085.685652173913,1094.4369565217391,1072.4,1081.7752173913043,124.52826086956522
December,2022,1186.6268181818182,1195.6827272727273,1175.9577272727272,1183.7795454545455,89.9309090909091
December,2023,1234.2925,1243.099,1225.6045,1234.9195,127.73150000000001
December,2024,1252.0657142857144,1261.5619047619048,1242.3195238095238,1250.171904761905,137.40952380952382
December,2025,1543.2918181818181,1553.015909090909,1534.1745454545455,1543.314090909091,83.44636363636363
